OTU_ID	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	taxonomy
OTU_1	21	1234	234	190	150	1735	718	738	1910	1725	602	808	231	118	1309	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Sva1033; g__Sva1033; s__unclassified_Sva1033
OTU_2	296	23	769	1012	20	138	404	230	370	214	22	493	674	980	291	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Sandaracinaceae; g__uncultured; s__unclassified_uncultured
OTU_3	213	64	2	80	99	339	403	623	618	247	187	421	127	70	614	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__uncultured; s__unclassified_uncultured
OTU_4	707	772	42	42	22	436	94	222	184	333	329	393	59	12	752	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__uncultured; s__unclassified_uncultured
OTU_5	134	0	558	324	234	129	218	247	227	130	277	214	2	279	123	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia; s__unclassified_Woeseia
OTU_6	441	693	124	193	110	410	111	175	292	367	288	191	168	113	274	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia; s__unclassified_Woeseia
OTU_7	173	563	74	48	39	507	176	268	549	593	105	117	56	29	236	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__uncultured; s__uncultured_Desulfocapsa
OTU_8	413	372	107	142	68	338	80	228	68	102	461	287	2	76	482	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Woeseiaceae; g__Woeseia; s__unclassified_Woeseia
OTU_9	57	0	122	121	157	124	256	214	214	142	2	278	277	211	117	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_actinobacterium
OTU_10	49	22	242	109	177	93	159	119	2	92	226	120	248	241	85	d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
